Res Freq.,Theta [Rad],Amp. [Volt],Error [Volt]
8017,3.141527138,13.86206897,
,3.018195906,13.31034483,
,2.895337948,12.13793103,
,2.773438929,10.37931034,
,2.653010101,8.275862069,
,2.534601848,5.793103448,
,2.418817969,3.931034483,
,2.306330691,2.94137931,
,2.197896004,3.620689655,
,2.094368356,2.251724138,
,1.996712891,5.034482759,
,1.906012162,2.7,
,1.82346277,2.962068966,
,1.750355994,3.279310345,
,1.688035882,5.689655172,
,1.637829956,3.862068966,
,1.600952826,3.965517241,
,1.578392076,4.034482759,
,1.570796327,4.172413793,
